09 открытие	09 макс	09 мин	09 закрытие 	10 открыте	10 макс	10 мин	10 закрытие 	11 открыте	11 макс	11 мин	11 закрытие 	12 открыте	12 макс	12 мин	12 закрытие 
108440,00	109200,00	108440,00	109130,00	115740,00	115740,00	115110,00	115210,00	113560,00	113560,00	113010,00	113190,00	110080,00	110250,00	109570,00	109820,00
109120,00	109190,00	109020,00	109060,00	115220,00	115230,00	115050,00	115080,00	113200,00	113240,00	113110,00	113140,00	109820,00	109980,00	109820,00	109880,00
109070,00	109090,00	108970,00	108990,00	115080,00	115150,00	115030,00	115070,00	113140,00	113200,00	113110,00	113120,00	109880,00	109920,00	109820,00	109840,00
109000,00	109030,00	108910,00	108950,00	115070,00	115110,00	115020,00	115080,00	113130,00	113140,00	113080,00	113080,00	109850,00	109860,00	109720,00	109820,00
108950,00	109010,00	108900,00	108950,00	115080,00	115180,00	115050,00	115110,00	113070,00	113170,00	113050,00	113130,00	109810,00	110020,00	109800,00	110020,00
108910,00	108950,00	108840,00	108900,00	115100,00	115180,00	115060,00	115070,00	113120,00	113130,00	112930,00	112950,00	110030,00	110030,00	109830,00	109900,00
108890,00	108940,00	108850,00	108850,00	115090,00	115130,00	115060,00	115120,00	112950,00	113040,00	112910,00	112990,00	109900,00	109910,00	109840,00	109860,00
108870,00	108890,00	108830,00	108830,00	115120,00	115130,00	115060,00	115110,00	112990,00	113010,00	112960,00	113010,00	109840,00	109890,00	109730,00	109760,00
108850,00	108890,00	108820,00	108890,00	115100,00	115190,00	115080,00	115120,00	113000,00	113080,00	112960,00	112960,00	109760,00	109920,00	109750,00	109830,00
108880,00	108920,00	108860,00	108900,00	115120,00	115190,00	115110,00	115190,00	112960,00	112990,00	112920,00	112970,00	109830,00	109900,00	109810,00	109880,00
108910,00	108910,00	108860,00	108860,00	115170,00	115190,00	114930,00	114950,00	112950,00	113000,00	112910,00	112950,00	109890,00	109900,00	109820,00	109820,00
108830,00	108830,00	108750,00	108750,00	114960,00	115000,00	114880,00	114990,00	112940,00	113000,00	112890,00	112990,00	109830,00	109970,00	109780,00	109940,00
108750,00	108980,00	108750,00	108960,00	114990,00	115000,00	114900,00	114940,00	113000,00	113040,00	112930,00	113040,00	109920,00	110060,00	109890,00	109910,00
108960,00	108990,00	108930,00	108990,00	114940,00	114950,00	114860,00	114950,00	113040,00	113050,00	112980,00	113000,00	109910,00	109950,00	109820,00	109840,00
