?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
109,A103,109,0000,000,0000,000,0000,0000,004,0100
109,A103,10A,A103,103,00CB,000,0109,00CB,000,0000
10A,4102,10B,4102,102,1000,000,010A,10CB,000,0000
10B,2104,10C,2104,104,2000,000,010B,0000,004,0100
10C,0780,10D,0780,10C,0780,000,010C,0000,005,0101
10D,4105,10E,4105,105,F27D,000,010D,F27D,008,1000
10E,3106,10F,3106,106,3FAC,000,0002,FFFD,008,1000
10F,6107,110,6107,107,C152,000,010F,3EAB,001,0001
110,E108,111,E108,108,3EAB,000,0110,3EAB,001,0001,108,3EAB
111,0100,112,0100,111,0100,000,0111,3EAB,001,0001
