?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
225,0200,225,0000,000,0000,000,0000,0000,004,0100
225,0200,226,0200,225,0200,000,0225,0000,004,0100
226,EEFD,227,EEFD,224,0000,000,FFFD,0000,004,0100,224,0000
227,AF05,228,AF05,227,0005,000,0005,0005,000,0000
228,EEFA,229,EEFA,223,0005,000,FFFA,0005,000,0000,223,0005
229,AEF7,22A,AEF7,221,0235,000,FFF7,0235,000,0000
22A,EEF7,22B,EEF7,222,0235,000,FFF7,0235,000,0000,222,0235
22B,AAF6,22C,AAF6,235,ADE4,000,FFF6,ADE4,008,1000,222,0236
22C,0480,22D,0480,22C,0480,000,022C,56F2,000,0000
22D,0200,22E,0200,22D,0200,000,022D,0000,004,0100
22E,0280,22F,0280,22E,0280,000,022E,FFFF,008,1000
22F,2EF4,230,2EF4,224,0000,000,FFF4,0000,004,0100
230,0400,231,0400,230,0400,000,0230,0000,004,0100
231,EEF2,232,EEF2,224,0000,000,FFF2,0000,004,0100,224,0000
232,8223,233,8223,223,0004,000,0003,0000,004,0100,223,0004
233,CEF7,22B,CEF7,233,022B,000,FFF7,0000,004,0100
22B,AAF6,22C,AAF6,236,6589,000,FFF6,6589,000,0000,222,0237
22C,0480,22D,0480,22C,0480,000,022C,32C4,003,0011
22D,0200,22E,0200,22D,0200,000,022D,0000,005,0101
22E,0280,22F,0280,22E,0280,000,022E,FFFF,009,1001
22F,2EF4,230,2EF4,224,0000,000,FFF4,0000,005,0101
230,0400,231,0400,230,0400,000,0230,0001,000,0000
231,EEF2,232,EEF2,224,0001,000,FFF2,0001,000,0000,224,0001
232,8223,233,8223,223,0003,000,0002,0001,000,0000,223,0003
233,CEF7,22B,CEF7,233,022B,000,FFF7,0001,000,0000
22B,AAF6,22C,AAF6,237,2350,000,FFF6,2350,000,0000,222,0238
22C,0480,22D,0480,22C,0480,000,022C,11A8,000,0000
22D,0200,22E,0200,22D,0200,000,022D,0000,004,0100
22E,0280,22F,0280,22E,0280,000,022E,FFFF,008,1000
22F,2EF4,230,2EF4,224,0001,000,FFF4,0001,000,0000
230,0400,231,0400,230,0400,000,0230,0002,000,0000
231,EEF2,232,EEF2,224,0002,000,FFF2,0002,000,0000,224,0002
232,8223,233,8223,223,0002,000,0001,0002,000,0000,223,0002
233,CEF7,22B,CEF7,233,022B,000,FFF7,0002,000,0000
22B,AAF6,22C,AAF6,238,CCAD,000,FFF6,CCAD,008,1000,222,0239
22C,0480,22D,0480,22C,0480,000,022C,6656,003,0011
22D,0200,22E,0200,22D,0200,000,022D,0000,005,0101
22E,0280,22F,0280,22E,0280,000,022E,FFFF,009,1001
22F,2EF4,230,2EF4,224,0002,000,FFF4,0002,001,0001
230,0400,231,0400,230,0400,000,0230,0005,000,0000
231,EEF2,232,EEF2,224,0005,000,FFF2,0005,000,0000,224,0005
232,8223,233,8223,223,0001,000,0000,0005,000,0000,223,0001
233,CEF7,22B,CEF7,233,022B,000,FFF7,0005,000,0000
22B,AAF6,22C,AAF6,239,4441,000,FFF6,4441,000,0000,222,023A
22C,0480,22D,0480,22C,0480,000,022C,2220,003,0011
22D,0200,22E,0200,22D,0200,000,022D,0000,005,0101
22E,0280,22F,0280,22E,0280,000,022E,FFFF,009,1001
22F,2EF4,230,2EF4,224,0005,000,FFF4,0005,001,0001
230,0400,231,0400,230,0400,000,0230,000B,000,0000
231,EEF2,232,EEF2,224,000B,000,FFF2,000B,000,0000,224,000B
232,8223,234,8223,223,0000,000,FFFF,000B,000,0000,223,0000
234,0100,235,0100,234,0100,000,0234,000B,000,0000
