?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
081,0200,081,0000,000,0000,000,0000,0000,004,0100
081,0200,082,0200,081,0200,000,0081,0000,004,0100
082,EE1A,083,EE1A,09D,0000,000,001A,0000,004,0100,09D,0000
083,AE18,084,AE18,09C,0042,000,0018,0042,000,0000
084,0740,085,0740,084,0740,000,0084,0041,001,0001
085,0C00,086,0C00,7FF,0041,7FF,0085,0041,001,0001,7FF,0041
086,D6A1,6A1,D6A1,7FE,0087,7FE,D6A1,0041,001,0001,7FE,0087
6A1,AC01,6A2,AC01,7FF,0041,7FE,0001,0041,001,0001
6A2,F203,6A3,F203,6A2,F203,7FE,06A2,0041,001,0001
6A3,7E08,6A4,7E08,6AC,018D,7FE,0008,0041,008,1000
6A4,F004,6A5,F004,6A4,F004,7FE,06A4,0041,008,1000
6A5,F803,6A9,F803,6A5,F803,7FE,0003,0041,008,1000
6A9,AE02,6AA,AE02,6AC,018D,7FE,0002,018D,000,0000
6AA,EC01,6AB,EC01,7FF,018D,7FE,0001,018D,000,0000,7FF,018D
6AB,0A00,087,0A00,7FE,0087,7FF,06AB,018D,000,0000
087,0800,088,0800,7FF,018D,000,0087,018D,000,0000
088,0700,089,0700,088,0700,000,0088,018E,000,0000
089,4E13,08A,4E13,09D,0000,000,0013,018E,000,0000
08A,EE12,08B,EE12,09D,018E,000,0012,018E,000,0000,09D,018E
08B,AE0F,08C,AE0F,09B,FFFB,000,000F,FFFB,008,1000
08C,0700,08D,0700,08C,0700,000,008C,FFFC,008,1000
08D,0C00,08E,0C00,7FF,FFFC,7FF,008D,FFFC,008,1000,7FF,FFFC
08E,D6A1,6A1,D6A1,7FE,008F,7FE,D6A1,FFFC,008,1000,7FE,008F
6A1,AC01,6A2,AC01,7FF,FFFC,7FE,0001,FFFC,008,1000
6A2,F203,6A6,F203,6A2,F203,7FE,0003,FFFC,008,1000
6A6,0500,6A7,0500,6A6,FFFC,7FE,06A6,FFF8,009,1001
6A7,4E05,6A8,4E05,6AD,0089,7FE,0005,0081,001,0001
6A8,CE01,6AA,CE01,6A8,06AA,7FE,0001,0081,001,0001
6AA,EC01,6AB,EC01,7FF,0081,7FE,0001,0081,001,0001,7FF,0081
6AB,0A00,08F,0A00,7FE,008F,7FF,06AB,0081,001,0001
08F,0800,090,0800,7FF,0081,000,008F,0081,001,0001
090,4E0C,091,4E0C,09D,018E,000,000C,020F,000,0000
091,EE0B,092,EE0B,09D,020F,000,000B,020F,000,0000,09D,020F
092,AE07,093,AE07,09A,014D,000,0007,014D,000,0000
093,0C00,094,0C00,7FF,014D,7FF,0093,014D,000,0000,7FF,014D
094,D6A1,6A1,D6A1,7FE,0095,7FE,D6A1,014D,000,0000,7FE,0095
6A1,AC01,6A2,AC01,7FF,014D,7FE,0001,014D,000,0000
6A2,F203,6A3,F203,6A2,F203,7FE,06A2,014D,000,0000
6A3,7E08,6A4,7E08,6AC,018D,7FE,0008,014D,008,1000
6A4,F004,6A5,F004,6A4,F004,7FE,06A4,014D,008,1000
6A5,F803,6A9,F803,6A5,F803,7FE,0003,014D,008,1000
6A9,AE02,6AA,AE02,6AC,018D,7FE,0002,018D,000,0000
6AA,EC01,6AB,EC01,7FF,018D,7FE,0001,018D,000,0000,7FF,018D
6AB,0A00,095,0A00,7FE,0095,7FF,06AB,018D,000,0000
095,0800,096,0800,7FF,018D,000,0095,018D,000,0000
096,0700,097,0700,096,0700,000,0096,018E,000,0000
097,4E05,098,4E05,09D,020F,000,0005,039D,000,0000
098,EE04,099,EE04,09D,039D,000,0004,039D,000,0000,09D,039D
099,0100,09A,0100,099,0100,000,0099,039D,000,0000
